well_id,top1_typewell,top1_corr,top2_typewell,top2_corr,top1_top2_gap,assigned_typewell_corr,assigned_typewell_rank,assigned_is_top1
3407f5bf,a08d9e63,0.8938121199607849,43e16325,0.8937997221946716,1.239776611328125e-05,0.8937997221946716,9,False
3417285d,3417285d,0.8655021786689758,10b89021,0.8655021786689758,0.0,0.8655021786689758,1,True
347242c8,a0e92ed6,0.7960274815559387,69e41fa6,0.7954525947570801,0.0005748867988586426,0.7739822268486023,12,False
353e5502,353e5502,0.8450446128845215,0c1b160c,0.5561946630477905,0.28884994983673096,0.8450446128845215,1,True
357c12f9,a76db406,0.9309371113777161,efe96181,0.9308770298957825,6.008148193359375e-05,0.9296270608901978,5,False
3584a6eb,6e6d122c,0.7804064154624939,2f19d536,0.7788909077644348,0.001515507698059082,0.7721744179725647,14,False
35b30c7f,e3b34f5b,0.8214961290359497,15e154a1,0.8214961290359497,0.0,0.8214961290359497,4,False
35b3ef6a,a2e8e7f6,0.8837279677391052,8b95d6d1,0.8837279677391052,0.0,0.8811161518096924,5,False
367456ce,30d75030,0.9074791073799133,8cc800b3,0.9069395661354065,0.0005395412445068359,0.9050800800323486,21,False
368131f9,2d35f86d,0.7959029674530029,8b12bab6,0.7959029674530029,0.0,0.7959029674530029,4,False
368fe682,42c538a1,0.6611971855163574,8a9c8932,0.6491605043411255,0.012036681175231934,0.6491045951843262,5,False
3690a146,8bb9c1e6,0.9228613972663879,09441b8d,0.9227944612503052,6.693601608276367e-05,0.9227944612503052,13,False
37344c2a,93f5d2e6,0.8623661398887634,3407f5bf,0.85838782787323,0.003978312015533447,0.8499991297721863,9,False
373ef48b,729f4217,0.800523042678833,dafc88c3,0.7969250679016113,0.0035979747772216797,0.7910628914833069,8,False
374be387,bd2c2f34,0.8619173169136047,7ff89f8f,0.8457852005958557,0.016132116317749023,0.8457852005958557,3,False
37d36812,2ab29395,0.8096771836280823,8b9d8326,0.8065594434738159,0.0031177401542663574,0.8062291145324707,8,False
38991fd4,463c38f2,0.9019514322280884,9efc812e,0.8990864753723145,0.0028649568557739258,0.8981974720954895,13,False
389ae58f,347242c8,0.7808229327201843,4c3168cf,0.7645947337150574,0.016228199005126953,0.6996911764144897,10,False
3932faa6,9314ff13,0.8369373679161072,cc8a1d57,0.8365114331245422,0.0004259347915649414,0.8333116769790649,10,False
398dce4b,05948241,0.9393434524536133,74b6186b,0.9393356442451477,7.808208465576172e-06,0.9393356442451477,3,False
39b51819,93f5d2e6,0.7721924185752869,a08d9e63,0.7192991375923157,0.05289328098297119,0.7106334567070007,19,False
3a0af893,5693dde2,0.5432218909263611,e5c92e59,0.5412219762802124,0.0019999146461486816,0.5412219762802124,5,False
3a223519,1fdbba44,0.8517243266105652,9ae248be,0.8490874171257019,0.0026369094848632812,0.8064919114112854,9,False
3a7dd95d,3a7dd95d,0.8123522996902466,1285a37b,0.3060348629951477,0.5063174366950989,0.8123522996902466,1,True
3a824aa7,2ab29395,0.8350309133529663,ba48188d,0.8296880125999451,0.00534290075302124,0.8179232478141785,13,False
3a86fe8d,726f3dc2,0.8971437215805054,47ee27ab,0.8971437215805054,0.0,0.8971437215805054,15,False
3aaa2b30,cb879f40,0.8690651655197144,367456ce,0.8690651655197144,0.0,0.8690651655197144,5,False
3ac16ad0,729e9750,0.8480378985404968,df71d1ff,0.8469876646995544,0.0010502338409423828,0.8389341235160828,9,False
3b21ea64,5b7b6324,0.8665973544120789,df73b8f3,0.8664101958274841,0.00018715858459472656,0.8659932017326355,8,False
3bbe1f5d,87aa3730,0.746289074420929,d2f3b1ab,0.7462641596794128,2.491474151611328e-05,0.7415626645088196,39,False
3bfee975,2ab29395,0.759186863899231,2f19d536,0.7538126707077026,0.00537419319152832,0.7496634721755981,9,False
3c3dbcbc,bffe3082,0.858881413936615,8612b37f,0.8553304672241211,0.0035509467124938965,0.8442028760910034,21,False
3d96d897,dafc88c3,0.8184682726860046,0a57a29c,0.8132951259613037,0.005173146724700928,0.805761456489563,52,False
3df4b19e,593876b6,0.8506644368171692,c908edd0,0.8505427241325378,0.00012171268463134766,0.8472355604171753,21,False
3e011332,23b9beb0,0.8657277822494507,a4719920,0.865308940410614,0.0004188418388366699,0.8607451915740967,12,False
3e678ea7,1bcb2fcf,0.7963611483573914,ac6f01d5,0.7868977189064026,0.00946342945098877,0.7868977189064026,10,False
3ef6372a,1a730ac2,0.8730044364929199,3a86fe8d,0.8468270897865295,0.02617734670639038,0.8232786655426025,22,False
3ef98781,a0e92ed6,0.6613603830337524,69e41fa6,0.6606205105781555,0.0007398724555969238,0.6415532231330872,10,False
3f603129,a5aa7973,0.8236871957778931,8995c945,0.8236871957778931,0.0,0.8236871957778931,20,False
404c4384,10be2420,0.8202273845672607,dd64382d,0.8202273845672607,0.0,0.8202273845672607,12,False
4121c517,529e88ca,0.8846234679222107,708caea9,0.8843690156936646,0.0002544522285461426,0.8831196427345276,9,False
41fb0192,113011eb,0.7210229635238647,2d9f6cb9,0.7146755456924438,0.0063474178314208984,0.713013768196106,10,False
42669188,01869cd4,0.957646906375885,1d3fbf02,0.9556416273117065,0.002005279064178467,0.9493306279182434,4,False
42c538a1,eba6605e,0.8396130204200745,368fe682,0.8396130204200745,0.0,0.8396130204200745,3,False
43b06c70,bffe3082,0.8694294691085815,8612b37f,0.8577221035957336,0.0117073655128479,0.8557161092758179,22,False
43c7f85a,d114d9c2,0.7374523282051086,e149204f,0.7353097200393677,0.002142608165740967,0.735130786895752,19,False
43e16325,5542c301,0.9100421071052551,43e16325,0.9082185626029968,0.0018235445022583008,0.9082185626029968,2,False
44441e54,5a1a8fd8,0.6197165250778198,d924e971,0.6197165250778198,0.0,0.6197165250778198,4,False
445af6c2,f9fc81aa,0.8900365829467773,d6c320d9,0.889939546585083,9.703636169433594e-05,0.8835487961769104,48,False
4463446c,4463446c,0.6712920069694519,071d7b45,0.6712920069694519,0.0,0.6712920069694519,1,True
44a94013,9d5e14d4,0.8064897656440735,ec0d597b,0.8064897656440735,0.0,0.8064897656440735,6,False
45fb3e21,a4719920,0.7871075868606567,5397ceb1,0.7870145440101624,9.304285049438477e-05,0.7756192684173584,15,False
460f859e,77e4821c,0.7550378441810608,b4f37e6e,0.7516720294952393,0.003365814685821533,0.7307262420654297,29,False
4630ab92,7bb17b96,0.8598370552062988,7b38844c,0.8590059280395508,0.0008311271667480469,0.8419960737228394,18,False
463c38f2,d0a43760,0.8929658532142639,ff8bb73a,0.8929658532142639,0.0,0.8929658532142639,14,False
4654e7de,d84b621b,0.878803551197052,764072a5,0.878803551197052,0.0,0.878803551197052,29,False
466fc788,89fdb2f2,0.9018759727478027,9d072e4c,0.9015895128250122,0.00028645992279052734,0.9014997482299805,5,False
46a301e9,54a7e3c2,0.949379563331604,f631da6e,0.9484174251556396,0.0009621381759643555,0.9298062324523926,10,False
46a7190b,58850d2c,0.5860474705696106,1bcb2fcf,0.5860474705696106,0.0,0.5860474705696106,11,False
46d24a09,1fdbba44,0.8230743408203125,9ae248be,0.8123522996902466,0.010722041130065918,0.7679365277290344,6,False
46d41ff6,b7974e66,0.7813497185707092,eb934281,0.7813497185707092,0.0,0.7813497185707092,3,False
46dfcfca,be35c8f2,0.6456441283226013,1bcb2fcf,0.6456441283226013,0.0,0.6456441283226013,12,False
47222616,2ab29395,0.8269712328910828,da2d4d7c,0.8222947716712952,0.004676461219787598,0.8186222910881042,16,False
47ee27ab,1a730ac2,0.8999466300010681,3a86fe8d,0.8871680498123169,0.01277858018875122,0.8717371225357056,9,False
481de5fc,d63196fe,0.7858346700668335,9314ff13,0.7811204195022583,0.004714250564575195,0.7736701965332031,14,False
48c1f673,1e30dedf,0.8719086647033691,48c1f673,0.8669706583023071,0.004938006401062012,0.8669706583023071,2,False
4936af16,3aaa2b30,0.8681448101997375,796dbd4c,0.8660339713096619,0.0021108388900756836,0.8660339713096619,18,False
493b5b31,57f05c51,0.9251997470855713,27c3155b,0.9249659776687622,0.00023376941680908203,0.920872688293457,4,False
49dbc14c,b4d8dd4f,0.5269758701324463,a85bb86f,0.5269758701324463,0.0,0.5269758701324463,9,False
4a035ec2,c70c0e01,0.73953777551651,028d7b28,0.7392563223838806,0.00028145313262939453,0.7381079792976379,15,False
4a335117,e7c36e81,0.7826075553894043,a85bb86f,0.7821322083473206,0.00047534704208374023,0.7673345804214478,4,False
4a8ecc0b,d50c649a,0.8045481443405151,93209a3d,0.8037887215614319,0.000759422779083252,0.7795534729957581,21,False
4b462989,a08d9e63,0.9456613063812256,3407f5bf,0.9452741742134094,0.0003871321678161621,0.9426425099372864,15,False
4b831d20,4b831d20,0.5978839993476868,41fb0192,0.5884984135627747,0.00938558578491211,0.5978839993476868,1,True
4c2208f5,03a935ae,0.8426288962364197,a8ed028a,0.8395286798477173,0.0031002163887023926,0.8322467803955078,6,False
4c3168cf,2b06ad65,0.8493530750274658,a0e92ed6,0.8484017848968506,0.0009512901306152344,0.821707546710968,13,False
4c3df468,f8afa78a,0.7055478096008301,82fcf37c,0.7005481123924255,0.004999697208404541,0.6915985345840454,9,False
4caa7289,dafc88c3,0.7975879311561584,eeed308d,0.7897752523422241,0.007812678813934326,0.7897752523422241,4,False
4cd1ac61,a87433c9,0.8716650009155273,bffe3082,0.8579540848731995,0.01371091604232788,0.8335508704185486,15,False
4cecf7b3,9426ec1e,0.7699406743049622,7bb17b96,0.7696669697761536,0.00027370452880859375,0.768498957157135,26,False
4ddde4c1,fb73b13a,0.9505937099456787,f6d009f4,0.9505937099456787,0.0,0.9505937099456787,3,False
4e050c92,9426ec1e,0.7691813111305237,44441e54,0.7691439390182495,3.737211227416992e-05,0.767932116985321,15,False
4ed93db6,bd6f0e19,0.8226259350776672,992c99e8,0.8222478032112122,0.0003781318664550781,0.8218791484832764,14,False
4f3eb9e9,861e71df,0.8452776074409485,b977be4a,0.8452776074409485,0.0,0.8452776074409485,17,False
4f4ac5ce,4f4ac5ce,0.9055128693580627,fa16d114,0.5552085041999817,0.35030436515808105,0.9055128693580627,1,True
4f4afcc6,d2f3b1ab,0.8664200305938721,cdc60a53,0.8663960695266724,2.396106719970703e-05,0.8663960695266724,28,False
4f69febf,98bc6f66,0.9336447715759277,3ac16ad0,0.9323627948760986,0.0012819766998291016,0.9040696024894714,10,False
4fbe9c06,884ecb5f,0.7135016918182373,4fbe9c06,0.7135016918182373,0.0,0.7135016918182373,2,False
